have	had	V;PST
have	had	V;V.PTCP;PST
have	has	V;PRS;3;SG
have	having	V;V.PTCP;PRS
do	did	V;PST
do	done	V;V.PTCP;PST
do	does	V;PRS;3;SG
do	doing	V;V.PTCP;PRS
say	said	V;PST
say	said	V;V.PTCP;PST
say	says	V;PRS;3;SG
say	saying	V;V.PTCP;PRS
go	went	V;PST
go	gone	V;V.PTCP;PST
go	goes	V;PRS;3;SG
go	going	V;V.PTCP;PRS
get	got	V;PST
get	got	V;V.PTCP;PST
get	gets	V;PRS;3;SG
get	getting	V;V.PTCP;PRS
make	made	V;PST
make	made	V;V.PTCP;PST
make	makes	V;PRS;3;SG
make	making	V;V.PTCP;PRS
see	saw	V;PST
see	seen	V;V.PTCP;PST
see	sees	V;PRS;3;SG
see	seeing	V;V.PTCP;PRS
know	knew	V;PST
know	known	V;V.PTCP;PST
know	knows	V;PRS;3;SG
know	knowing	V;V.PTCP;PRS
take	took	V;PST
take	taken	V;V.PTCP;PST
take	takes	V;PRS;3;SG
take	taking	V;V.PTCP;PRS
think	thought	V;PST
think	thought	V;V.PTCP;PST
think	thinks	V;PRS;3;SG
think	thinking	V;V.PTCP;PRS
come	came	V;PST
come	come	V;V.PTCP;PST
come	comes	V;PRS;3;SG
come	coming	V;V.PTCP;PRS
give	gave	V;PST
give	given	V;V.PTCP;PST
give	gives	V;PRS;3;SG
give	giving	V;V.PTCP;PRS
look	looked	V;PST
look	looked	V;V.PTCP;PST
look	looks	V;PRS;3;SG
look	looking	V;V.PTCP;PRS
use	used	V;PST
use	used	V;V.PTCP;PST
use	uses	V;PRS;3;SG
use	using	V;V.PTCP;PRS
find	found	V;PST
find	found	V;V.PTCP;PST
find	finds	V;PRS;3;SG
find	finding	V;V.PTCP;PRS
want	wanted	V;PST
want	wanted	V;V.PTCP;PST
want	wants	V;PRS;3;SG
want	wanting	V;V.PTCP;PRS
tell	told	V;PST
tell	told	V;V.PTCP;PST
tell	tells	V;PRS;3;SG
tell	telling	V;V.PTCP;PRS
put	put	V;PST
put	put	V;V.PTCP;PST
put	puts	V;PRS;3;SG
put	putting	V;V.PTCP;PRS
work	worked	V;PST
work	worked	V;V.PTCP;PST
work	works	V;PRS;3;SG
work	working	V;V.PTCP;PRS
become	became	V;PST
become	become	V;V.PTCP;PST
become	becomes	V;PRS;3;SG
become	becoming	V;V.PTCP;PRS
mean	meant	V;PST
mean	meant	V;V.PTCP;PST
mean	means	V;PRS;3;SG
mean	meaning	V;V.PTCP;PRS
leave	left	V;PST
leave	left	V;V.PTCP;PST
leave	leaves	V;PRS;3;SG
leave	leaving	V;V.PTCP;PRS
seem	seemed	V;PST
seem	seemed	V;V.PTCP;PST
seem	seems	V;PRS;3;SG
seem	seeming	V;V.PTCP;PRS
need	needed	V;PST
need	needed	V;V.PTCP;PST
need	needs	V;PRS;3;SG
need	needing	V;V.PTCP;PRS
feel	felt	V;PST
feel	felt	V;V.PTCP;PST
feel	feels	V;PRS;3;SG
feel	feeling	V;V.PTCP;PRS
ask	asked	V;PST
ask	asked	V;V.PTCP;PST
ask	asks	V;PRS;3;SG
ask	asking	V;V.PTCP;PRS
show	showed	V;PST
show	shown	V;V.PTCP;PST
show	shows	V;PRS;3;SG
show	showing	V;V.PTCP;PRS
try	tried	V;PST
try	tried	V;V.PTCP;PST
try	tries	V;PRS;3;SG
try	trying	V;V.PTCP;PRS
call	called	V;PST
call	called	V;V.PTCP;PST
call	calls	V;PRS;3;SG
call	calling	V;V.PTCP;PRS
keep	kept	V;PST
keep	kept	V;V.PTCP;PST
keep	keeps	V;PRS;3;SG
keep	keeping	V;V.PTCP;PRS
provide	provided	V;PST
provide	provided	V;V.PTCP;PST
provide	provides	V;PRS;3;SG
provide	providing	V;V.PTCP;PRS
hold	held	V;PST
hold	held	V;V.PTCP;PST
hold	holds	V;PRS;3;SG
hold	holding	V;V.PTCP;PRS
follow	followed	V;PST
follow	followed	V;V.PTCP;PST
follow	follows	V;PRS;3;SG
follow	following	V;V.PTCP;PRS
turn	turned	V;PST
turn	turned	V;V.PTCP;PST
turn	turns	V;PRS;3;SG
turn	turning	V;V.PTCP;PRS
bring	brought	V;PST
bring	brought	V;V.PTCP;PST
bring	brings	V;PRS;3;SG
bring	bringing	V;V.PTCP;PRS
begin	began	V;PST
begin	begun	V;V.PTCP;PST
begin	begins	V;PRS;3;SG
begin	beginning	V;V.PTCP;PRS
like	liked	V;PST
like	liked	V;V.PTCP;PST
like	likes	V;PRS;3;SG
like	liking	V;V.PTCP;PRS
write	wrote	V;PST
write	written	V;V.PTCP;PST
write	writes	V;PRS;3;SG
write	writing	V;V.PTCP;PRS
start	started	V;PST
start	started	V;V.PTCP;PST
start	starts	V;PRS;3;SG
start	starting	V;V.PTCP;PRS
run	ran	V;PST
run	run	V;V.PTCP;PST
run	runs	V;PRS;3;SG
run	running	V;V.PTCP;PRS
set	set	V;PST
set	set	V;V.PTCP;PST
set	sets	V;PRS;3;SG
set	setting	V;V.PTCP;PRS
help	helped	V;PST
help	helped	V;V.PTCP;PST
help	helps	V;PRS;3;SG
help	helping	V;V.PTCP;PRS
play	played	V;PST
play	played	V;V.PTCP;PST
play	plays	V;PRS;3;SG
play	playing	V;V.PTCP;PRS
move	moved	V;PST
move	moved	V;V.PTCP;PST
move	moves	V;PRS;3;SG
move	moving	V;V.PTCP;PRS
pay	paid	V;PST
pay	paid	V;V.PTCP;PST
pay	pays	V;PRS;3;SG
pay	paying	V;V.PTCP;PRS
hear	heard	V;PST
hear	heard	V;V.PTCP;PST
hear	hears	V;PRS;3;SG
hear	hearing	V;V.PTCP;PRS
meet	met	V;PST
meet	met	V;V.PTCP;PST
meet	meets	V;PRS;3;SG
meet	meeting	V;V.PTCP;PRS
include	included	V;PST
include	included	V;V.PTCP;PST
include	includes	V;PRS;3;SG
include	including	V;V.PTCP;PRS
believe	believed	V;PST
believe	believed	V;V.PTCP;PST
believe	believes	V;PRS;3;SG
believe	believing	V;V.PTCP;PRS
allow	allowed	V;PST
allow	allowed	V;V.PTCP;PST
allow	allows	V;PRS;3;SG
allow	allowing	V;V.PTCP;PRS
lead	leaded	V;PST
lead	leaded	V;V.PTCP;PST
lead	leads	V;PRS;3;SG
lead	leading	V;V.PTCP;PRS
stand	stood	V;PST
stand	stood	V;V.PTCP;PST
stand	stands	V;PRS;3;SG
stand	standing	V;V.PTCP;PRS
live	lived	V;PST
live	lived	V;V.PTCP;PST
live	lives	V;PRS;3;SG
live	living	V;V.PTCP;PRS
happen	happened	V;PST
happen	happened	V;V.PTCP;PST
happen	happens	V;PRS;3;SG
happen	happening	V;V.PTCP;PRS
carry	carried	V;PST
carry	carried	V;V.PTCP;PST
carry	carries	V;PRS;3;SG
carry	carrying	V;V.PTCP;PRS
talk	talked	V;PST
talk	talked	V;V.PTCP;PST
talk	talks	V;PRS;3;SG
talk	talking	V;V.PTCP;PRS
sit	sat	V;PST
sit	sat	V;V.PTCP;PST
sit	sits	V;PRS;3;SG
sit	sitting	V;V.PTCP;PRS
appear	appeared	V;PST
appear	appeared	V;V.PTCP;PST
appear	appears	V;PRS;3;SG
appear	appearing	V;V.PTCP;PRS
continue	continued	V;PST
continue	continued	V;V.PTCP;PST
continue	continues	V;PRS;3;SG
continue	continuing	V;V.PTCP;PRS
let	let	V;PST
let	let	V;V.PTCP;PST
let	lets	V;PRS;3;SG
let	letting	V;V.PTCP;PRS
produce	produced	V;PST
produce	produced	V;V.PTCP;PST
produce	produces	V;PRS;3;SG
produce	producing	V;V.PTCP;PRS
involve	involved	V;PST
involve	involved	V;V.PTCP;PST
involve	involves	V;PRS;3;SG
involve	involving	V;V.PTCP;PRS
require	required	V;PST
require	required	V;V.PTCP;PST
require	requires	V;PRS;3;SG
require	requiring	V;V.PTCP;PRS
suggest	suggested	V;PST
suggest	suggested	V;V.PTCP;PST
suggest	suggests	V;PRS;3;SG
suggest	suggesting	V;V.PTCP;PRS
consider	considered	V;PST
consider	considered	V;V.PTCP;PST
consider	considers	V;PRS;3;SG
consider	considering	V;V.PTCP;PRS
read	read	V;PST
read	read	V;V.PTCP;PST
read	reads	V;PRS;3;SG
read	reading	V;V.PTCP;PRS
change	changed	V;PST
change	changed	V;V.PTCP;PST
change	changes	V;PRS;3;SG
change	changing	V;V.PTCP;PRS
offer	offered	V;PST
offer	offered	V;V.PTCP;PST
offer	offers	V;PRS;3;SG
offer	offering	V;V.PTCP;PRS
lose	lost	V;PST
lose	lost	V;V.PTCP;PST
lose	loses	V;PRS;3;SG
lose	losing	V;V.PTCP;PRS
add	added	V;PST
add	added	V;V.PTCP;PST
add	adds	V;PRS;3;SG
add	adding	V;V.PTCP;PRS
expect	expected	V;PST
expect	expected	V;V.PTCP;PST
expect	expects	V;PRS;3;SG
expect	expecting	V;V.PTCP;PRS
remember	remembered	V;PST
remember	remembered	V;V.PTCP;PST
remember	remembers	V;PRS;3;SG
remember	remembering	V;V.PTCP;PRS
remain	remained	V;PST
remain	remained	V;V.PTCP;PST
remain	remains	V;PRS;3;SG
remain	remaining	V;V.PTCP;PRS
fall	fell	V;PST
fall	fallen	V;V.PTCP;PST
fall	falls	V;PRS;3;SG
fall	falling	V;V.PTCP;PRS
speak	spoke	V;PST
speak	spoken	V;V.PTCP;PST
speak	speaks	V;PRS;3;SG
speak	speaking	V;V.PTCP;PRS
open	opened	V;PST
open	opened	V;V.PTCP;PST
open	opens	V;PRS;3;SG
open	opening	V;V.PTCP;PRS
buy	bought	V;PST
buy	bought	V;V.PTCP;PST
buy	buys	V;PRS;3;SG
buy	buying	V;V.PTCP;PRS
stop	stopped	V;PST
stop	stopped	V;V.PTCP;PST
stop	stops	V;PRS;3;SG
stop	stopping	V;V.PTCP;PRS
send	sent	V;PST
send	sent	V;V.PTCP;PST
send	sends	V;PRS;3;SG
send	sending	V;V.PTCP;PRS
decide	decided	V;PST
decide	decided	V;V.PTCP;PST
decide	decides	V;PRS;3;SG
decide	deciding	V;V.PTCP;PRS
win	won	V;PST
win	won	V;V.PTCP;PST
win	wins	V;PRS;3;SG
win	winning	V;V.PTCP;PRS
understand	understood	V;PST
understand	understood	V;V.PTCP;PST
understand	understands	V;PRS;3;SG
understand	understanding	V;V.PTCP;PRS
develop	developed	V;PST
develop	developed	V;V.PTCP;PST
develop	develops	V;PRS;3;SG
develop	developing	V;V.PTCP;PRS
receive	received	V;PST
receive	received	V;V.PTCP;PST
receive	receives	V;PRS;3;SG
receive	receiving	V;V.PTCP;PRS
return	returned	V;PST
return	returned	V;V.PTCP;PST
return	returns	V;PRS;3;SG
return	returning	V;V.PTCP;PRS
build	built	V;PST
build	built	V;V.PTCP;PST
build	builds	V;PRS;3;SG
build	building	V;V.PTCP;PRS
spend	spent	V;PST
spend	spent	V;V.PTCP;PST
spend	spends	V;PRS;3;SG
spend	spending	V;V.PTCP;PRS
describe	described	V;PST
describe	described	V;V.PTCP;PST
describe	describes	V;PRS;3;SG
describe	describing	V;V.PTCP;PRS
agree	agreed	V;PST
agree	agreed	V;V.PTCP;PST
agree	agrees	V;PRS;3;SG
agree	agreeing	V;V.PTCP;PRS
increase	increased	V;PST
increase	increased	V;V.PTCP;PST
increase	increases	V;PRS;3;SG
increase	increasing	V;V.PTCP;PRS
learn	learned	V;PST
learn	learned	V;V.PTCP;PST
learn	learns	V;PRS;3;SG
learn	learning	V;V.PTCP;PRS
reach	reached	V;PST
reach	reached	V;V.PTCP;PST
reach	reaches	V;PRS;3;SG
reach	reaching	V;V.PTCP;PRS
lie	lay	V;PST
lie	lain	V;V.PTCP;PST
lie	lies	V;PRS;3;SG
lie	lying	V;V.PTCP;PRS
walk	walked	V;PST
